# Time-averaged data for fix flux
# TimeStep c_jVz c_jQzIon c_jQzNa c_jVzIon c_jVzAvg c_jVzAvg_spce
1300000 200.328 -3.23709 -3.23709 -3.23709 0.838194 0.858926
1310000 -2370.09 2.15099 2.15099 2.15099 -9.91668 -10.0094
1320000 -726.626 1.88071 1.88071 1.88071 -3.04027 -3.07387
1330000 2473.43 6.17099 6.17099 6.17099 10.3491 10.4104
1340000 1594.39 -7.42711 -7.42711 -7.42711 6.67107 6.7587
1350000 -83.0856 -1.26922 -1.26922 -1.26922 -0.347638 -0.345217
1360000 -3110.88 3.07638 3.07638 3.07638 -13.0162 -13.139
1370000 588.617 -6.72818 -6.72818 -6.72818 2.46283 2.51201
1380000 -553.352 -3.00654 -3.00654 -3.00654 -2.31528 -2.32213
1390000 -1370.44 -13.7058 -13.7058 -13.7058 -5.73406 -5.72462
1400000 624.205 15.5533 15.5533 15.5533 2.61174 2.56815
1410000 496.401 9.51601 9.51601 9.51601 2.07699 2.05437
1420000 -3052.3 -29.0115 -29.0115 -29.0115 -12.7711 -12.7565
1430000 3781.2 29.3957 29.3957 29.3957 15.8209 15.8304
1440000 -1917.52 -7.12594 -7.12594 -7.12594 -8.02311 -8.06075
1450000 -2700.25 -26.3931 -26.3931 -26.3931 -11.2981 -11.2821
1460000 4907.2 33.9041 33.9041 33.9041 20.5322 20.5624
1470000 -1518.15 -18.9698 -18.9698 -18.9698 -6.3521 -6.32567
1480000 727.674 19.9245 19.9245 19.9245 3.04466 2.98629
1490000 -850.279 -10.838 -10.838 -10.838 -3.55765 -3.54194
1500000 -923.875 1.53082 1.53082 1.53082 -3.86559 -3.90467
1510000 2869.93 -4.58497 -4.58497 -4.58497 12.0081 12.1288
1520000 -1888.24 0.479455 0.479455 0.479455 -7.90057 -7.96926
1530000 632.364 6.62389 6.62389 6.62389 2.64588 2.64025
1540000 -449.304 2.55093 2.55093 2.55093 -1.87993 -1.90656
1550000 -434.957 -13.4951 -13.4951 -13.4951 -1.8199 -1.77832
1560000 699.787 13.4296 13.4296 13.4296 2.92798 2.89602
1570000 -1636.23 -10.8749 -10.8749 -10.8749 -6.84615 -6.85803
1580000 6371.46 13.0471 13.0471 13.0471 26.6588 26.8287
1590000 -3652.78 -0.828115 -0.828115 -0.828115 -15.2836 -15.4091
1600000 2243.99 -32.0694 -32.0694 -32.0694 9.38906 9.60361
1610000 3155.21 29.2015 29.2015 29.2015 13.2017 13.1899
1620000 994.893 -7.87597 -7.87597 -7.87597 4.16273 4.23109
1630000 1392.13 10.0593 10.0593 10.0593 5.82483 5.83154
1640000 31960.3 223.304 223.304 223.304 133.725 133.911
1650000 3085.15 23.9165 23.9165 23.9165 12.9086 12.9166
1660000 533.013 -11.1021 -11.1021 -11.1021 2.23018 2.29584
1670000 -8956.9 -10.23 -10.23 -10.23 -37.4766 -37.7497
1680000 -94.6874 -16.523 -16.523 -16.523 -0.396182 -0.329808
1690000 2979.63 44.5974 44.5974 44.5974 12.4671 12.3841
1700000 4562.49 16.0469 16.0469 16.0469 19.0899 19.1833
1710000 -1856.35 -16.1042 -16.1042 -16.1042 -7.76717 -7.76477
1720000 3191.51 36.6425 36.6425 36.6425 13.3536 13.3117
1730000 -4346.51 -32.9192 -32.9192 -32.9192 -18.1862 -18.2008
1740000 6375.18 38.5728 38.5728 38.5728 26.6744 26.7367
1750000 4232.83 10.3277 10.3277 10.3277 17.7106 17.8165
1760000 14080.7 88.3378 88.3378 88.3378 58.9149 59.0393
1770000 8772.16 58.0088 58.0088 58.0088 36.7036 36.7686
1780000 3789.68 9.85033 9.85033 9.85033 15.8564 15.9487
1790000 12225.5 40.703 40.703 40.703 51.1528 51.4127
1800000 5396.43 57.6141 57.6141 57.6141 22.5792 22.5267
